event id,event name,event topic
251132001,Sunday Holiday Sunset Cruise,wine tasting social cruise advance sell boat attend attending join
250636632,Indian bridal shoot with Monica,bridal indian shoot foliage sheena central park makeup front nichole
250791669,Friday Night Dance Cruise,wine tasting social cruise advance sell boat attend attending join
250589909,Floral bodypaint photoshoot ,party drink dljparty ticketleap date penthouse breaker attending dress giveaway
250104031,"""Cinco de Mayo"" Penthouse Party (2-1 Drinks, Comp Apps, DJ, Giveaways)",party drink dljparty ticketleap date penthouse breaker attending dress giveaway
250191479,Saturday Night Sunset Fashion Cruise ,wine tasting social cruise advance sell boat attend attending join
250284992,Upscale Gallery Style Mixer - Photography & Art,havana tour scotland cuban edinburgh visit city people walking time
250191791,No Cover - Fashion Thursday - Cameras Welcome!!!!,fashion people wine party live special free range bring dress
249978940,Indian bridal shoot with Sheena,bridal indian shoot foliage sheena central park makeup front nichole
249979248,Holi photoshoot with Monica,time slot photographer shoot photoshoot picture beautiful photographers spot hour
250221702,Fashion photoshoot with model Christiane,masked photo digital workshop image live message voice mail people
249499628,"Back To The 80s & 90s Penthouse Party (2-1 Drinks, Comp Apps, DJ & More!)",party drink dljparty ticketleap date penthouse breaker attending dress giveaway
249685959,Sky High Wine Tasting - All Inclusive Event,wine tasting social cruise advance sell boat attend attending join
249425134,"Rooftop Sunday Fun-day Party (Drink Specials, Ice Breakers, & More!)",fashion people wine party live special free range bring dress
248559321,East Village Photo Walk,special grow halloween game costume super bash people join photography
249531847,Urban photoshoot with model Nichole,time slot photographer shoot photoshoot picture beautiful photographers spot hour
249395323,"Chinatown, NYC Photo Workshop",masked photo digital workshop image live message voice mail people
248668897,"VIP Penthouse Party & Heated Igloo Rooftop (2-1 Drinks, Comp Apps, DJ & More!)",party drink dljparty ticketleap date penthouse breaker attending dress giveaway
247101133,CALL FOR ARTISTS: SPRING DIGITAL PHOTOGRAPHY & ART FAIR,masked photo digital workshop image live message voice mail people
248639297,Incredible Italian Wine Tastings $24.99 with breathtaking views and art!,wine tasting social cruise advance sell boat attend attending join
248194474,"Back To 80s & 90s Penthouse Party (Comp Apps, 2-1 Drinks, DJ,Dancing, Giveaways)",party drink dljparty ticketleap date penthouse breaker attending dress giveaway
247811183,"10th Annual Mardi Gras Penthouse Party (Comp Apps, 2-1 Drinks, Free Beads, DJ)",party drink dljparty ticketleap date penthouse breaker attending dress giveaway
247898619,No Cover Dolce Vita Pre-Oscar Party and Photography show,wine tasting social cruise advance sell boat attend attending join
247722654,DXO Fashion Week 2018 @ Skyroom Penthouse,masked photo digital workshop image live message voice mail people
247585398,"Valentine's Day Singles Penthouse Party (Comp Apps, DJ, Icebreakers & More!)",party drink dljparty ticketleap date penthouse breaker attending dress giveaway
247281437,"Pre-Valentine's Largest Singles Party (Comp Apps, DJ, Icebreakers) PREPAY ONLY",party drink dljparty ticketleap date penthouse breaker attending dress giveaway
247333707,Fashion Week Networking and Photography Show,havana tour scotland cuban edinburgh visit city people walking time
247025880,"Super Bowl Meetup Party (Comp Apps & Shots, Drink Specials, Prizes & More!)",party drink dljparty ticketleap date penthouse breaker attending dress giveaway
247054569,"Anti-Valentine Penthouse Party (Roses, Chocolates, Comp Apps, 2-1 Drinks, DJ)",party drink dljparty ticketleap date penthouse breaker attending dress giveaway
246885555,Networking with Art and Photography,havana tour scotland cuban edinburgh visit city people walking time
246610552,"Heated Igloos & Penthouse Party! (2-1 Drinks, Comp Apps, DJ, Dancing & More)",party drink dljparty ticketleap date penthouse breaker attending dress giveaway
246518820,"Winter Bash 2018 (Comp Apps, Drink Specials, DJ, Ice Breakers & More!)",party drink dljparty ticketleap date penthouse breaker attending dress giveaway
246211554,"Upscale Penthouse Party! (2-1 Drinks, Comp Apps, DJ, Giveaways & More)",party drink dljparty ticketleap date penthouse breaker attending dress giveaway
246428934,Wine Tasting for Fun People,wine tasting social cruise advance sell boat attend attending join
245902330,40 and Over New Years Party,havana tour scotland cuban edinburgh visit city people walking time
245438232,"LARGEST New Years Eve Meetup Party (Comp Apps, DJ, Ice Breakers, & More!)",party drink dljparty ticketleap date penthouse breaker attending dress giveaway
245913081,Traffic Light Party (Your New Favorite Meetup!),party drink dljparty ticketleap date penthouse breaker attending dress giveaway
245498538,"Upscale Holiday Penthouse Party! (2-1 Drinks, Comp Apps, DJ, Giveaways & More)",party drink dljparty ticketleap date penthouse breaker attending dress giveaway
245902361,No Cover Holiday Party & Fashion Show (Cameras Welcome),fashion people wine party live special free range bring dress
244998224,"LARGEST Thanksgiving Eve Party (Comp Apps, DJ, Ice Breakers, & More!)",party drink dljparty ticketleap date penthouse breaker attending dress giveaway
244869236,"""Upscale Penthouse Party"" @ 230 Fifth (Comp Apps, 2-1 Drinks, DJ, Giveaways!)",party drink dljparty ticketleap date penthouse breaker attending dress giveaway
243635379,Fall Foliage in Central Park,bridal indian shoot foliage sheena central park makeup front nichole
244635764,Final Mostly Italian Wine Tasting of 2017,wine tasting social cruise advance sell boat attend attending join
244635668,NO Cover Happy Hour & Fashion Night at Skyroom,special fashion night italian cruise valentine manhattan board pier sell
243853932,"Halloween Largest Meetup Party (Open Bar, Comp Apps, DJ, Costume Prizes, Candy)",party drink dljparty ticketleap date penthouse breaker attending dress giveaway
244181770,Let's play a game : jigsaw is back !,time slot photographer shoot photoshoot picture beautiful photographers spot hour
243170176,PhotoPlus 2017 - Special Free Deal for our Group!!!!,special grow halloween game costume super bash people join photography
243488946,Havana Cuba Weekend,havana tour scotland cuban edinburgh visit city people walking time
243949482,"""Oktoberfest""­ Penthouse Party! (2-1 Drinks, Comp Appetizers, DJ & Icebreakers)",party drink dljparty ticketleap date penthouse breaker attending dress giveaway
242281962,3rd Annual Digital Photo & Art Fair,masked photo digital workshop image live message voice mail people
244178302,NO Cover Italian Fashion Night at Skyroom,special fashion night italian cruise valentine manhattan board pier sell
244090687,'Friday Night - 30 and Over Live Jazz Singles Mixer,fashion people wine party live special free range bring dress
244092076,VIP Fashion Mixer - Private Pre-Party,fashion people wine party live special free range bring dress
243909999,VIP Fashion Mixer - Private Pre-Party,fashion people wine party live special free range bring dress
243896786,Italian Wine Tasting - Everything Included & Multiple Groups,wine tasting social cruise advance sell boat attend attending join
243332642,"""Fall Fling"" Penthouse Party (Comp Apps, 2-1 Drinks, DJ, Giveaways!)",party drink dljparty ticketleap date penthouse breaker attending dress giveaway
243476296,"NO Cover Italian Palooza at Skyroom - Fashion, Photography and Great Wine!!",special fashion night italian cruise valentine manhattan board pier sell
243394548,"Sunset Yacht Cruise (Comp Apps, DJ, Ice Breakers, Prizes) Prepay Only",wine tasting social cruise advance sell boat attend attending join
243144857,"Back To The 80s & 90s Party (2 For 1 Drinks, DJ, Icebreakers, Giveaways & More!)",party drink dljparty ticketleap date penthouse breaker attending dress giveaway
243099031,Fashion Week  - Sunset Cruise,special fashion night italian cruise valentine manhattan board pier sell
242988912,NO COVER - Fashion Week 2017 at Skyroom Penthouse,fashion people wine party live special free range bring dress
242794362,NY Yankees Baseball at Yankee Stadium 50 Attending *PRE-PAY ONLY EVENT*,fashion people wine party live special free range bring dress
242270965,Photo Meetup & Photo Contest at Central Park Zoo,dublin castle ireland galway island night cliff tour overnight park
srhtpnywlbjc,Hudson Valley Photo Workshop,masked photo digital workshop image live message voice mail people
242281237,"Summer Luau Penthouse Party (Comp Apps, 2-1 Drinks, DJ, Giveaways!)",party drink dljparty ticketleap date penthouse breaker attending dress giveaway
bwftpnywlbzb,"Metropolitan Museum of Art,  NYC Photo Workshop",masked photo digital workshop image live message voice mail people
jwftpnywlbzb,"Metropolitan Museum of Art,  NYC Photo Workshop",masked photo digital workshop image live message voice mail people
242490069,Free Networking and Fashion Show Thursday,fashion people wine party live special free range bring dress
239706814,1 Male Spot Left-Scotland & Fringe Festival +Optional 2Day Iceland Extension,havana tour scotland cuban edinburgh visit city people walking time
242368247,New and Improved Wine and Cheese Social!!,fashion people wine party live special free range bring dress
241844647,"Midsummer's Night Dream Penthouse Party (Comp Apps, 2-1 Drinks, DJ, Giveaways!)",party drink dljparty ticketleap date penthouse breaker attending dress giveaway
241816110,"Exclusive Outdoor/Indoor Rooftop Mixer (Drink Specials, Ice Breakers & More!)",party drink dljparty ticketleap date penthouse breaker attending dress giveaway
tbmlmnywkbdc,"Chinatown, NYC Photo Workshop",masked photo digital workshop image live message voice mail people
241730036,Engagement photoshoots Sat July 22 and Sun July 23,dublin castle ireland galway island night cliff tour overnight park
239944041,CALL FOR PHOTOGRAPHERS: GROW GROUP SHOW,special grow halloween game costume super bash people join photography
241273333,Wedding photoshoots Sat July 8 and Sun July 9,dublin castle ireland galway island night cliff tour overnight park
240795925,$300 Savings for Male Spot on Classic Ireland Trip-Airfare incl from JFK or EWR,dublin castle ireland galway island night cliff tour overnight park
